imo_number,mmsi,name,ship_type,length,width,max_draught,type_name,type_remark
2104021,244750316,FIAT VOLUNTAS       ,79,86,0,0.0,Cargo,No additional information
9730517,232054785,WIND CREATION       ,70,17,63,5.3,Cargo,All ships of this type
9923229,250013821,ARKLOW RALLY,79,95,8,4.1,Cargo,No additional information
9257802,314997000,FURIA               ,80,208,38,8.5,Tanker,All ships of this type
9923231,250013999,ARKLOW RAMBLER,79,96,9,6.5,Cargo,No additional information
9265873,667002405,KAMELOT             ,80,149,33,11.8,Tanker,All ships of this type
9404948,352003102,CHEN LU             ,80,203,41,14.8,Tanker,All ships of this type
9288473,352004805,GLORY V             ,70,210,15,14.2,Cargo,All ships of this type
9730244,538008574,SHEILA              ,70,165,25,10.1,Cargo,All ships of this type
9923255,250014166,ARKLOW RESOLVE,79,96,9,6.8,Cargo,No additional information
9923267,250014193,ARKLOW ROSE,79,96,9,4.0,Cargo,No additional information
9021502,211411630,ST27 JACOB GRIETJE  ,30,23,17,5.0,Fishing,NaN
9923243,250014107,ARKLOW RANGER,79,96,9,6.9,Cargo,No additional information
2312894,205410790,EMBARGO,70,64,12,0.0,Cargo,All ships of this type
9292503,667002395,BULL                ,85,209,41,14.9,Tanker,Reserved for future use
9311036,636093142,OKEE JOHN T         ,80,165,20,10.8,Tanker,All ships of this type
5019800,246337000,ANTIGUA             ,36,36,12,3.1,Sailing,NaN
9012599,244672000,KW45 ANNA HENDRIKA  ,30,32,12,5.5,Fishing,NaN
9833101,257089140,EAGLE BLANE         ,80,219,58,9.5,Tanker,All ships of this type
5767168,244740922,EXODUS@X@H@A@@@X@@A ,79,80,105,0.0,Cargo,No additional information
9923920,232033647,HYDROCAT 48         ,40,11,12,2.0,High speed craft (HSC),All ships of this type
9397999,352980797,AMETHYST ACE        ,70,16,183,7.8,Cargo,All ships of this type
9360594,255915697,FAIRPLAY-33         ,52,18,17,6.9,Tug,NaN
9722510,257734000,AURORA STORM,90,12,72,5.1,Other Type,All ships of this type
9361110,245615000,ANNA                ,0,80,10,5.8,Not available (default),NaN
9419319,245639000,FRASERBORG,70,140,16,5.6,Cargo,All ships of this type
9803687,212752000,BG JADE,71,135,18,6.6,Cargo,Hazardous category A
8807222,538071876,SCINTILLA MARIS     ,37,22,23,4.8,Pleasure Craft,NaN
9831581,227832880,F/V LA TRINITE ,30,8,12,3.5,Fishing,NaN
9898527,636019990,SOLAR TINE          ,80,146,37,10.7,Tanker,All ships of this type
9466697,253414000,FERNAO DE MAGALHAES ,90,93,45,6.5,Other Type,All ships of this type
9301108,255802760,FAITH               ,79,140,15,7.1,Cargo,No additional information
9589607,311070200,SOLVIK SUPPLIER     ,90,16,69,6.1,Other Type,All ships of this type
9451771,235056986,TYPHOON CLIPPER     ,45,19,19,0.0,High speed craft (HSC),Reserved for future use
9641730,229090000,MEIN SCHIFF 3,69,37,257,8.2,Passenger,No additional information
9360489,255803360,CUERA               ,70,77,13,5.8,Cargo,All ships of this type
5419244,258024160,URTER               ,52,11,18,0.0,Tug,NaN
9991953,219032749,RESPONDER           ,40,15,17,1.7,High speed craft (HSC),All ships of this type
9360910,212276000,SEATTLE C           ,74,191,69,11.8,Cargo,Hazardous category D
